id,time,cost,period_start,period_end,cost_per_hour,cost_so_far,service,description,invoice_id,project_id,notes,filter,balance,machineType,compute_server_id,diskSizeGb
136903,2025-04-05T18:04:06.208Z,0.034207467,2025-04-05T18:04:06.207Z,2025-04-06T18:04:45.848Z,0.0014246575,,compute-server,"{'type': 'compute-server', 'state': 'off', 'configuration': {'spot': True, 'zone': 'us-east5-a', 'cloud': 'google-cloud', 'image': 'python', 'region': 'us-east5', 'diskType': 'pd-standard', 'diskSizeGb': 20, 'externalIp': True, 'machineType': 'c2-standard-8', 'excludeFromSync': ['scratch'], 'allowCollaboratorControl': True}, 'compute_server_id': 7405}",,7cc205d7-4d68-4202-827c-0d03275ac596,,"{""id"":136903,""time"":""2025-04-05t18:04:06.208z"",""cost"":0.034207467,""period_start"":""2025-04-05t18:04:06.207z"",""period_end"":""2025-04-06t18:04:45.848z"",""cost_per_hour"":0.0014246575,""cost_so_far"":null,""service"":""compute-server"",""description"":{""type"":""compute-server"",""state"":""off"",""configuration"":{""spot"":true,""zone"":""us-east5-a"",""cloud"":""google-cloud"",""image"":""python"",""region"":""us-east5"",""disktype"":""pd-standard"",""disksizegb"":20,""externalip"":true,""machinetype"":""c2-standard-8"",""excludefromsync"":[""scratch""],""allowcollaboratorcontrol"":true},""compute_server_id"":7405},""invoice_id"":null,""project_id"":""7cc205d7-4d68-4202-827c-0d03275ac596"",""notes"":null}",-5.571023,c2-standard-8,7405,20
136702,2025-04-05T05:48:09.863Z,0.01746826,2025-04-05T05:48:09.863Z,2025-04-05T18:03:50.817Z,0.0014246575,,compute-server,"{'type': 'compute-server', 'state': 'off', 'configuration': {'spot': True, 'zone': 'us-east5-a', 'cloud': 'google-cloud', 'image': 'python', 'region': 'us-east5', 'diskType': 'pd-standard', 'diskSizeGb': 20, 'externalIp': True, 'machineType': 'c2-standard-8', 'excludeFromSync': ['scratch'], 'allowCollaboratorControl': True}, 'compute_server_id': 7424}",,8b4ffd18-bb23-4915-a5b5-e36d4c1735b9,,"{""id"":136702,""time"":""2025-04-05t05:48:09.863z"",""cost"":0.01746826,""period_start"":""2025-04-05t05:48:09.863z"",""period_end"":""2025-04-05t18:03:50.817z"",""cost_per_hour"":0.0014246575,""cost_so_far"":null,""service"":""compute-server"",""description"":{""type"":""compute-server"",""state"":""off"",""configuration"":{""spot"":true,""zone"":""us-east5-a"",""cloud"":""google-cloud"",""image"":""python"",""region"":""us-east5"",""disktype"":""pd-standard"",""disksizegb"":20,""externalip"":true,""machinetype"":""c2-standard-8"",""excludefromsync"":[""scratch""],""allowcollaboratorcontrol"":true},""compute_server_id"":7424},""invoice_id"":null,""project_id"":""8b4ffd18-bb23-4915-a5b5-e36d4c1735b9"",""notes"":null}",-5.536815533,c2-standard-8,7424,20
136658,2025-04-05T03:51:09.946Z,0.3850078,2025-04-05T03:51:09.945Z,2025-04-06T03:52:28.620Z,0.016027397,,compute-server,"{'type': 'compute-server', 'state': 'off', 'configuration': {'tag': None, 'spot': True, 'zone': 'europe-west12-a', 'cloud': 'google-cloud', 'image': 'python', 'region': 'europe-west12', 'diskType': 'pd-balanced', 'authToken': 'Vgl0fTrHWLUsgglf', 'diskSizeGb': 75, 'externalIp': True, 'spendLimit': {'hours': 24, 'dollars': 10, 'enabled': True}, 'machineType': 'n2d-standard-32', 'excludeFromSync': ['scratch'], 'idleTimeoutMinutes': 30, 'allowCollaboratorControl': True}, 'compute_server_id': 6823}",,8b4ffd18-bb23-4915-a5b5-e36d4c1735b9,,"{""id"":136658,""time"":""2025-04-05t03:51:09.946z"",""cost"":0.3850078,""period_start"":""2025-04-05t03:51:09.945z"",""period_end"":""2025-04-06t03:52:28.620z"",""cost_per_hour"":0.016027397,""cost_so_far"":null,""service"":""compute-server"",""description"":{""type"":""compute-server"",""state"":""off"",""configuration"":{""tag"":null,""spot"":true,""zone"":""europe-west12-a"",""cloud"":""google-cloud"",""image"":""python"",""region"":""europe-west12"",""disktype"":""pd-balanced"",""authtoken"":""vgl0ftrhwlusgglf"",""disksizegb"":75,""externalip"":true,""spendlimit"":{""hours"":24,""dollars"":10,""enabled"":true},""machinetype"":""n2d-standard-32"",""excludefromsync"":[""scratch""],""idletimeoutminutes"":30,""allowcollaboratorcontrol"":true},""compute_server_id"":6823},""invoice_id"":null,""project_id"":""8b4ffd18-bb23-4915-a5b5-e36d4c1735b9"",""notes"":null}",-5.519347273,n2d-standard-32,6823,75
136653,2025-04-05T03:34:29.648Z,0.020642167,2025-04-05T03:34:29.647Z,2025-04-05T18:03:50.815Z,0.0014246575,,compute-server,"{'type': 'compute-server', 'state': 'off', 'configuration': {'spot': True, 'zone': 'us-east5-a', 'cloud': 'google-cloud', 'image': 'python', 'region': 'us-east5', 'diskType': 'pd-standard', 'diskSizeGb': 20, 'externalIp': True, 'machineType': 'c2-standard-8', 'excludeFromSync': ['scratch'], 'allowCollaboratorControl': True}, 'compute_server_id': 7404}",,0bbef53a-9e4f-4033-aca0-1b132d78f51a,,"{""id"":136653,""time"":""2025-04-05t03:34:29.648z"",""cost"":0.020642167,""period_start"":""2025-04-05t03:34:29.647z"",""period_end"":""2025-04-05t18:03:50.815z"",""cost_per_hour"":0.0014246575,""cost_so_far"":null,""service"":""compute-server"",""description"":{""type"":""compute-server"",""state"":""off"",""configuration"":{""spot"":true,""zone"":""us-east5-a"",""cloud"":""google-cloud"",""image"":""python"",""region"":""us-east5"",""disktype"":""pd-standard"",""disksizegb"":20,""externalip"":true,""machinetype"":""c2-standard-8"",""excludefromsync"":[""scratch""],""allowcollaboratorcontrol"":true},""compute_server_id"":7404},""invoice_id"":null,""project_id"":""0bbef53a-9e4f-4033-aca0-1b132d78f51a"",""notes"":null}",-5.134339473,c2-standard-8,7404,20
136473,2025-04-04T20:13:50.376Z,1.1701901,2025-04-04T20:13:50.375Z,2025-04-05T18:03:50.719Z,0.05359626,,compute-server,"{'type': 'compute-server', 'state': 'running', 'configuration': {'spot': True, 'zone': 'us-east5-a', 'cloud': 'google-cloud', 'image': 'python', 'region': 'us-east5', 'diskType': 'pd-standard', 'diskSizeGb': 20, 'externalIp': True, 'machineType': 'c2-standard-8', 'excludeFromSync': ['scratch'], 'allowCollaboratorControl': True}, 'compute_server_id': 7405}",,7cc205d7-4d68-4202-827c-0d03275ac596,,"{""id"":136473,""time"":""2025-04-04t20:13:50.376z"",""cost"":1.1701901,""period_start"":""2025-04-04t20:13:50.375z"",""period_end"":""2025-04-05t18:03:50.719z"",""cost_per_hour"":0.05359626,""cost_so_far"":null,""service"":""compute-server"",""description"":{""type"":""compute-server"",""state"":""running"",""configuration"":{""spot"":true,""zone"":""us-east5-a"",""cloud"":""google-cloud"",""image"":""python"",""region"":""us-east5"",""disktype"":""pd-standard"",""disksizegb"":20,""externalip"":true,""machinetype"":""c2-standard-8"",""excludefromsync"":[""scratch""],""allowcollaboratorcontrol"":true},""compute_server_id"":7405},""invoice_id"":null,""project_id"":""7cc205d7-4d68-4202-827c-0d03275ac596"",""notes"":null}",-5.113697306,c2-standard-8,7405,20
136189,2025-04-04T05:47:25.910Z,0.034209177,2025-04-04T05:47:25.909Z,2025-04-05T05:48:09.865Z,0.0014246575,,compute-server,"{'type': 'compute-server', 'state': 'off', 'configuration': {'spot': True, 'zone': 'us-east5-a', 'cloud': 'google-cloud', 'image': 'python', 'region': 'us-east5', 'diskType': 'pd-standard', 'diskSizeGb': 20, 'externalIp': True, 'machineType': 'c2-standard-8', 'excludeFromSync': ['scratch'], 'allowCollaboratorControl': True}, 'compute_server_id': 7424}",,8b4ffd18-bb23-4915-a5b5-e36d4c1735b9,,"{""id"":136189,""time"":""2025-04-04t05:47:25.910z"",""cost"":0.034209177,""period_start"":""2025-04-04t05:47:25.909z"",""period_end"":""2025-04-05t05:48:09.865z"",""cost_per_hour"":0.0014246575,""cost_so_far"":null,""service"":""compute-server"",""description"":{""type"":""compute-server"",""state"":""off"",""configuration"":{""spot"":true,""zone"":""us-east5-a"",""cloud"":""google-cloud"",""image"":""python"",""region"":""us-east5"",""disktype"":""pd-standard"",""disksizegb"":20,""externalip"":true,""machinetype"":""c2-standard-8"",""excludefromsync"":[""scratch""],""allowcollaboratorcontrol"":true},""compute_server_id"":7424},""invoice_id"":null,""project_id"":""8b4ffd18-bb23-4915-a5b5-e36d4c1735b9"",""notes"":null}",-3.943507206,c2-standard-8,7424,20
136145,2025-04-04T03:49:07.995Z,0.38520047,2025-04-04T03:49:07.995Z,2025-04-05T03:51:09.948Z,0.016027397,,compute-server,"{'type': 'compute-server', 'state': 'off', 'configuration': {'tag': None, 'spot': True, 'zone': 'europe-west12-a', 'cloud': 'google-cloud', 'image': 'python', 'region': 'europe-west12', 'diskType': 'pd-balanced', 'authToken': 'Vgl0fTrHWLUsgglf', 'diskSizeGb': 75, 'externalIp': True, 'spendLimit': {'hours': 24, 'dollars': 10, 'enabled': True}, 'machineType': 'n2d-standard-32', 'excludeFromSync': ['scratch'], 'idleTimeoutMinutes': 30, 'allowCollaboratorControl': True}, 'compute_server_id': 6823}",,8b4ffd18-bb23-4915-a5b5-e36d4c1735b9,,"{""id"":136145,""time"":""2025-04-04t03:49:07.995z"",""cost"":0.38520047,""period_start"":""2025-04-04t03:49:07.995z"",""period_end"":""2025-04-05t03:51:09.948z"",""cost_per_hour"":0.016027397,""cost_so_far"":null,""service"":""compute-server"",""description"":{""type"":""compute-server"",""state"":""off"",""configuration"":{""tag"":null,""spot"":true,""zone"":""europe-west12-a"",""cloud"":""google-cloud"",""image"":""python"",""region"":""europe-west12"",""disktype"":""pd-balanced"",""authtoken"":""vgl0ftrhwlusgglf"",""disksizegb"":75,""externalip"":true,""spendlimit"":{""hours"":24,""dollars"":10,""enabled"":true},""machinetype"":""n2d-standard-32"",""excludefromsync"":[""scratch""],""idletimeoutminutes"":30,""allowcollaboratorcontrol"":true},""compute_server_id"":6823},""invoice_id"":null,""project_id"":""8b4ffd18-bb23-4915-a5b5-e36d4c1735b9"",""notes"":null}",-3.909298029,n2d-standard-32,6823,75
136140,2025-04-04T03:32:29.121Z,0.03423948,2025-04-04T03:32:29.121Z,2025-04-05T03:34:29.650Z,0.0014246575,,compute-server,"{'type': 'compute-server', 'state': 'off', 'configuration': {'spot': True, 'zone': 'us-east5-a', 'cloud': 'google-cloud', 'image': 'python', 'region': 'us-east5', 'diskType': 'pd-standard', 'diskSizeGb': 20, 'externalIp': True, 'machineType': 'c2-standard-8', 'excludeFromSync': ['scratch'], 'allowCollaboratorControl': True}, 'compute_server_id': 7404}",,0bbef53a-9e4f-4033-aca0-1b132d78f51a,,"{""id"":136140,""time"":""2025-04-04t03:32:29.121z"",""cost"":0.03423948,""period_start"":""2025-04-04t03:32:29.121z"",""period_end"":""2025-04-05t03:34:29.650z"",""cost_per_hour"":0.0014246575,""cost_so_far"":null,""service"":""compute-server"",""description"":{""type"":""compute-server"",""state"":""off"",""configuration"":{""spot"":true,""zone"":""us-east5-a"",""cloud"":""google-cloud"",""image"":""python"",""region"":""us-east5"",""disktype"":""pd-standard"",""disksizegb"":20,""externalip"":true,""machinetype"":""c2-standard-8"",""excludefromsync"":[""scratch""],""allowcollaboratorcontrol"":true},""compute_server_id"":7404},""invoice_id"":null,""project_id"":""0bbef53a-9e4f-4033-aca0-1b132d78f51a"",""notes"":null}",-3.524097559,c2-standard-8,7404,20
135942,2025-04-03T20:12:21.776Z,1.2876294,2025-04-03T20:12:21.775Z,2025-04-04T20:13:50.378Z,0.05359626,,compute-server,"{'type': 'compute-server', 'state': 'running', 'configuration': {'spot': True, 'zone': 'us-east5-a', 'cloud': 'google-cloud', 'image': 'python', 'region': 'us-east5', 'diskType': 'pd-standard', 'diskSizeGb': 20, 'externalIp': True, 'machineType': 'c2-standard-8', 'excludeFromSync': ['scratch'], 'allowCollaboratorControl': True}, 'compute_server_id': 7405}",,7cc205d7-4d68-4202-827c-0d03275ac596,,"{""id"":135942,""time"":""2025-04-03t20:12:21.776z"",""cost"":1.2876294,""period_start"":""2025-04-03t20:12:21.775z"",""period_end"":""2025-04-04t20:13:50.378z"",""cost_per_hour"":0.05359626,""cost_so_far"":null,""service"":""compute-server"",""description"":{""type"":""compute-server"",""state"":""running"",""configuration"":{""spot"":true,""zone"":""us-east5-a"",""cloud"":""google-cloud"",""image"":""python"",""region"":""us-east5"",""disktype"":""pd-standard"",""disksizegb"":20,""externalip"":true,""machinetype"":""c2-standard-8"",""excludefromsync"":[""scratch""],""allowcollaboratorcontrol"":true},""compute_server_id"":7405},""invoice_id"":null,""project_id"":""7cc205d7-4d68-4202-827c-0d03275ac596"",""notes"":null}",-3.489858079,c2-standard-8,7405,20
135604,2025-04-03T05:45:52.277Z,0.034228835,2025-04-03T05:45:52.276Z,2025-04-04T05:47:25.912Z,0.0014246575,,compute-server,"{'type': 'compute-server', 'state': 'off', 'configuration': {'spot': True, 'zone': 'us-east5-a', 'cloud': 'google-cloud', 'image': 'python', 'region': 'us-east5', 'diskType': 'pd-standard', 'diskSizeGb': 20, 'externalIp': True, 'machineType': 'c2-standard-8', 'excludeFromSync': ['scratch'], 'allowCollaboratorControl': True}, 'compute_server_id': 7424}",,8b4ffd18-bb23-4915-a5b5-e36d4c1735b9,,"{""id"":135604,""time"":""2025-04-03t05:45:52.277z"",""cost"":0.034228835,""period_start"":""2025-04-03t05:45:52.276z"",""period_end"":""2025-04-04t05:47:25.912z"",""cost_per_hour"":0.0014246575,""cost_so_far"":null,""service"":""compute-server"",""description"":{""type"":""compute-server"",""state"":""off"",""configuration"":{""spot"":true,""zone"":""us-east5-a"",""cloud"":""google-cloud"",""image"":""python"",""region"":""us-east5"",""disktype"":""pd-standard"",""disksizegb"":20,""externalip"":true,""machinetype"":""c2-standard-8"",""excludefromsync"":[""scratch""],""allowcollaboratorcontrol"":true},""compute_server_id"":7424},""invoice_id"":null,""project_id"":""8b4ffd18-bb23-4915-a5b5-e36d4c1735b9"",""notes"":null}",-2.202228679,c2-standard-8,7424,20
